2023-04-05 16:23:58,014 - INFO - Fold [1/5], Epoch [98/100], Train Loss: 2.0958, Train Acc: 0.3105, Val Loss: 2.0517, Val Acc: 0.2842
2023-04-05 16:23:59,806 - INFO - Fold [1/5], Epoch [99/100], Train Loss: 2.0950, Train Acc: 0.3105, Val Loss: 2.0812, Val Acc: 0.2842
2023-04-05 16:24:01,595 - INFO - Fold [1/5], Epoch [100/100], Train Loss: 2.0950, Train Acc: 0.3105, Val Loss: 2.0746, Val Acc: 0.2842
2023-04-05 16:24:01,907 - INFO - Start training...
2023-04-05 16:24:03,730 - INFO - Fold [2/5], Epoch [1/100], Train Loss: 2.9884, Train Acc: 0.1368, Val Loss: 2.3624, Val Acc: 0.3053
2023-04-05 16:24:06,288 - INFO - Fold [2/5], Epoch [2/100], Train Loss: 2.3191, Train Acc: 0.3053, Val Loss: 2.1555, Val Acc: 0.3053
2023-04-05 16:24:08,469 - INFO - Fold [2/5], Epoch [3/100], Train Loss: 2.1657, Train Acc: 0.2053, Val Loss: 2.1212, Val Acc: 0.3053
2023-04-05 16:24:10,580 - INFO - Fold [2/5], Epoch [4/100], Train Loss: 2.1381, Train Acc: 0.3053, Val Loss: 2.1219, Val Acc: 0.3053
2023-04-05 16:24:12,399 - INFO - Fold [2/5], Epoch [5/100], Train Loss: 2.1031, Train Acc: 0.3053, Val Loss: 2.1002, Val Acc: 0.3053
2023-04-05 16:24:14,256 - INFO - Fold [2/5], Epoch [6/100], Train Loss: 2.1058, Train Acc: 0.3053, Val Loss: 2.0939, Val Acc: 0.3053
2023-04-05 16:24:16,057 - INFO - Fold [2/5], Epoch [7/100], Train Loss: 2.1081, Train Acc: 0.3053, Val Loss: 2.0959, Val Acc: 0.3053
2023-04-05 16:24:17,883 - INFO - Fold [2/5], Epoch [8/100], Train Loss: 2.1075, Train Acc: 0.3053, Val Loss: 2.0919, Val Acc: 0.3053
2023-04-05 16:24:19,708 - INFO - Fold [2/5], Epoch [9/100], Train Loss: 2.0970, Train Acc: 0.3053, Val Loss: 2.0906, Val Acc: 0.3053
2023-04-05 16:24:21,498 - INFO - Fold [2/5], Epoch [10/100], Train Loss: 2.0944, Train Acc: 0.3053, Val Loss: 2.0990, Val Acc: 0.3053
2023-04-05 16:24:23,352 - INFO - Fold [2/5], Epoch [11/100], Train Loss: 2.0920, Train Acc: 0.3053, Val Loss: 2.0791, Val Acc: 0.3053
2023-04-05 16:24:25,161 - INFO - Fold [2/5], Epoch [12/100], Train Loss: 2.0909, Train Acc: 0.3053, Val Loss: 2.0872, Val Acc: 0.3053
2023-04-05 16:24:26,948 - INFO - Fold [2/5], Epoch [13/100], Train Loss: 2.0913, Train Acc: 0.3053, Val Loss: 2.0904, Val Acc: 0.3053
2023-04-05 16:24:28,748 - INFO - Fold [2/5], Epoch [14/100], Train Loss: 2.0946, Train Acc: 0.3053, Val Loss: 2.0839, Val Acc: 0.3053
2023-04-05 16:24:30,589 - INFO - Fold [2/5], Epoch [15/100], Train Loss: 2.0900, Train Acc: 0.3053, Val Loss: 2.0881, Val Acc: 0.3053
2023-04-05 16:24:32,662 - INFO - Fold [2/5], Epoch [16/100], Train Loss: 2.0894, Train Acc: 0.3053, Val Loss: 2.0835, Val Acc: 0.3053
2023-04-05 16:24:34,830 - INFO - Fold [2/5], Epoch [17/100], Train Loss: 2.0966, Train Acc: 0.3053, Val Loss: 2.0860, Val Acc: 0.3053
2023-04-05 16:24:36,720 - INFO - Fold [2/5], Epoch [18/100], Train Loss: 2.0982, Train Acc: 0.3053, Val Loss: 2.0945, Val Acc: 0.3053
2023-04-05 16:24:38,529 - INFO - Fold [2/5], Epoch [19/100], Train Loss: 2.0892, Train Acc: 0.3053, Val Loss: 2.0884, Val Acc: 0.3053
2023-04-05 16:24:40,310 - INFO - Fold [2/5], Epoch [20/100], Train Loss: 2.0988, Train Acc: 0.3053, Val Loss: 2.0878, Val Acc: 0.3053
2023-04-05 16:24:42,094 - INFO - Fold [2/5], Epoch [21/100], Train Loss: 2.1034, Train Acc: 0.3053, Val Loss: 2.0840, Val Acc: 0.3053
2023-04-05 16:24:43,876 - INFO - Fold [2/5], Epoch [22/100], Train Loss: 2.0996, Train Acc: 0.3053, Val Loss: 2.0941, Val Acc: 0.3053
2023-04-05 16:24:45,657 - INFO - Fold [2/5], Epoch [23/100], Train Loss: 2.0955, Train Acc: 0.3053, Val Loss: 2.0927, Val Acc: 0.3053
2023-04-05 16:24:47,439 - INFO - Fold [2/5], Epoch [24/100], Train Loss: 2.1050, Train Acc: 0.3053, Val Loss: 2.0888, Val Acc: 0.3053
2023-04-05 16:24:49,224 - INFO - Fold [2/5], Epoch [25/100], Train Loss: 2.1002, Train Acc: 0.3053, Val Loss: 2.0912, Val Acc: 0.3053
2023-04-05 16:24:51,025 - INFO - Fold [2/5], Epoch [26/100], Train Loss: 2.0907, Train Acc: 0.3053, Val Loss: 2.0914, Val Acc: 0.3053
2023-04-05 16:24:52,818 - INFO - Fold [2/5], Epoch [27/100], Train Loss: 2.0948, Train Acc: 0.3053, Val Loss: 2.0925, Val Acc: 0.3053
2023-04-05 16:24:54,635 - INFO - Fold [2/5], Epoch [28/100], Train Loss: 2.0936, Train Acc: 0.3053, Val Loss: 2.0845, Val Acc: 0.3053
2023-04-05 16:24:56,442 - INFO - Fold [2/5], Epoch [29/100], Train Loss: 2.0932, Train Acc: 0.3053, Val Loss: 2.0868, Val Acc: 0.3053
2023-04-05 16:24:58,236 - INFO - Fold [2/5], Epoch [30/100], Train Loss: 2.0952, Train Acc: 0.3053, Val Loss: 2.0836, Val Acc: 0.3053
